Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Female,Male,0.7675987841945289,0.7832386363636363,0.9800318173248973,0.01563985216910746,0.999909329948318,9.067005168195141e-05,,,,,,,
,,,,,,,,Female,0.7675987841945289,0.7832386363636363,0.9800318173248973,0.01563985216910746,0.999909329948318,9.067005168195141e-05
,,,,,,,,Male,0.7832386363636363,0.7675987841945289,0.9800318173248973,0.01563985216910746,0.999909329948318,9.067005168195141e-05
