Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
[70-80),[50-60),0.7753881394756935,0.7832728661447393,0.9899336144403235,0.007884726669045827,0.9990119216613523,0.0009875968189894113,,,,,,,
[70-80),[60-70),0.7753881394756935,0.7910336610068514,0.9802214212840908,0.015645521531157836,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[30-40),0.7753881394756935,0.7484499557130204,0.9652584526494198,0.026938183762673096,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[80-90),0.7753881394756935,0.7566731141199227,0.975863668267578,0.018715025355770853,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[40-50),0.7753881394756935,0.7700176366843033,0.9930737877999763,0.005370502791390175,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[90-100),0.7753881394756935,0.7002427184466019,0.9030867030286227,0.07514542102909161,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[20-30),0.7753881394756935,0.7808219178082192,0.9930409505565899,0.005433778332525674,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[10-20),0.7753881394756935,0.8985507246376812,0.8629319616745621,0.12316258516198764,0.9985250737463127,0.001474926253687281,,,,,,,
[70-80),[0-10),0.7753881394756935,0.8222222222222222,0.9430396290920597,0.04683408274652867,0.9985250737463127,0.001474926253687281,,,,,,,
[50-60),[60-70),0.7832728661447393,0.7910336610068514,0.9901890459980757,0.007760794862112008,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[30-40),0.7832728661447393,0.7484499557130204,0.9555417889003139,0.03482291043171892,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[80-90),0.7832728661447393,0.7566731141199227,0.9660402483291163,0.02659975202481668,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[40-50),0.7832728661447393,0.7700176366843033,0.9830771241627735,0.013255229460436002,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[90-100),0.7832728661447393,0.7002427184466019,0.8939958840821195,0.08303014769813744,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[20-30),0.7832728661447393,0.7808219178082192,0.9968708882402838,0.0024509483365201534,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[10-20),0.7832728661447393,0.8985507246376812,0.8717068994191454,0.11527785849294181,0.9995126705653021,0.0004873294346978696,,,,,,,
[50-60),[0-10),0.7832728661447393,0.8222222222222222,0.9526291615273857,0.038949356077482844,0.9995126705653021,0.0004873294346978696,,,,,,,
[60-70),[30-40),0.7910336610068514,0.7484499557130204,0.9461670123624966,0.04258370529383093,1.0,0.0,,,,,,,
[60-70),[80-90),0.7910336610068514,0.7566731141199227,0.9565624718887518,0.03436054688692869,1.0,0.0,,,,,,,
[60-70),[40-50),0.7910336610068514,0.7700176366843033,0.9734321997172685,0.02101602432254801,1.0,0.0,,,,,,,
[60-70),[90-100),0.7910336610068514,0.7002427184466019,0.8852249315854802,0.09079094256024944,1.0,0.0,,,,,,,
[60-70),[20-30),0.7910336610068514,0.7808219178082192,0.9870906338099009,0.010211743198632162,1.0,0.0,,,,,,,
[60-70),[10-20),0.7910336610068514,0.8985507246376812,0.880343913056012,0.1075170636308298,1.0,0.0,,,,,,,
[60-70),[0-10),0.7910336610068514,0.8222222222222222,0.9620679660894138,0.031188561215370836,1.0,0.0,,,,,,,
