Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Female,Male,0.45398176291793313,0.4671875,0.9717335393561111,0.013205737082066848,0.9927655334192942,0.00722238900711536,,,,,,,
,,,,,,,,Female,0.45398176291793313,0.4671875,0.9717335393561111,0.013205737082066848,0.9927655334192942,0.00722238900711536
,,,,,,,,Male,0.4671875,0.45398176291793313,0.9717335393561111,0.013205737082066848,0.9927655334192942,0.00722238900711536
