Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Female,Male,0.7671124620060791,0.7828125,0.9799440632412986,0.015700037993920946,0.9999988719234397,1.127361852759634e-06,,,,,,,
,,,,,,,,Female,0.7671124620060791,0.7828125,0.9799440632412986,0.015700037993920946,0.9999988719234397,1.127361852759634e-06
,,,,,,,,Male,0.7828125,0.7671124620060791,0.9799440632412986,0.015700037993920946,0.9999988719234397,1.127361852759634e-06
