Group 1,Group 2,Selection Rate 1,Selection Rate 2,Pairwise DP Ratio,Pairwise DP Difference,Pairwise Eq Odds Ratio,Pairwise Eq Odds Difference,Target Group,Target Selection Rate,Rest Selection Rate,One Vs Rest DP Ratio,One Vs Rest DP Difference,One Vs Rest Eq Odds Ratio,One Vs Rest Eq Odds Difference
Female,Male,0.45683890577507597,0.46725852272727275,0.9777005309793387,0.010419616952196786,0.9988616733401899,0.0011365990430854955,,,,,,,
,,,,,,,,Female,0.45683890577507597,0.46725852272727275,0.9777005309793387,0.010419616952196786,0.9988616733401899,0.0011365990430854955
,,,,,,,,Male,0.46725852272727275,0.45683890577507597,0.9777005309793387,0.010419616952196786,0.9988616733401899,0.0011365990430854955
